step,mloss,gloss,loss
330.0,1.1191,0.9988,2.1179
331.0,1.1256,0.9915,2.1170999999999998
332.0,1.1162,1.0147,2.1309
333.0,1.0854,0.9909,2.0763
334.0,1.0845,0.9864,2.0709
335.0,1.0562,0.9972,2.0534
336.0,1.1173,1.0061,2.1234
337.0,1.1372,0.995,2.1322
338.0,1.1532,0.9992,2.1524
339.0,1.1215,1.0199,2.1414
340.0,1.1551,1.0146,2.1696999999999997
341.0,1.1826,1.006,2.1886
342.0,1.1316,1.0012,2.1328
343.0,1.2771,1.0103,2.2874
344.0,1.1536,0.984,2.1376
345.0,1.0894,0.9853,2.0747
346.0,1.1588,1.0178,2.1766
347.0,1.1325,1.0048,2.1372999999999998
348.0,1.084,1.0001,2.0841000000000003
349.0,1.1491,1.0069,2.1559999999999997
350.0,1.0847,1.01,2.0947
351.0,1.0958,0.9954,2.0912
352.0,1.0964,1.0049,2.1013
353.0,1.0904,1.0077,2.0981
354.0,1.0876,1.0104,2.098
355.0,1.1157,1.0047,2.1204
356.0,1.1258,1.0069,2.1327
357.0,1.1336,1.0086,2.1422
358.0,1.0935,1.0012,2.0947
359.0,1.1186,1.0074,2.1260000000000003
360.0,1.11,0.989,2.099
361.0,1.1063,1.0239,2.1302000000000003
362.0,1.1613,1.0033,2.1646
363.0,1.0945,1.0001,2.0946
364.0,1.1046,1.0123,2.1169000000000002
365.0,1.1226,1.0059,2.1285
366.0,1.1461,0.9942,2.1403
367.0,1.1205,0.9847,2.1052
368.0,1.1374,1.0007,2.1380999999999997
369.0,1.1036,1.0017,2.1052999999999997
370.0,1.1736,0.9988,2.1724
371.0,1.1207,1.0175,2.1382000000000003
372.0,1.1374,0.9957,2.1330999999999998
373.0,1.0772,0.9859,2.0631
374.0,1.1354,1.0041,2.1395
375.0,1.1046,0.9993,2.1039
376.0,1.1005,0.9994,2.0999
377.0,1.0856,0.9907,2.0763
378.0,1.1324,0.9993,2.1317
379.0,1.0964,1.0056,2.1020000000000003
380.0,1.1149,0.9934,2.1083
381.0,1.1028,0.9919,2.0947
382.0,1.0598,1.0033,2.0631000000000004
383.0,1.1213,1.0075,2.1288
384.0,1.1231,0.9941,2.1172
385.0,1.0971,0.99,2.0871
386.0,1.0722,0.9853,2.0575
387.0,1.1085,1.0058,2.1143
388.0,1.1298,0.9926,2.1224
389.0,1.2186,0.9794,2.198
390.0,1.1295,1.004,2.1334999999999997
391.0,1.1451,1.0131,2.1582
392.0,1.1222,1.0081,2.1303
393.0,1.0965,1.0094,2.1059
394.0,1.127,0.9906,2.1176
395.0,1.086,0.9839,2.0699
396.0,1.1215,0.9921,2.1136
397.0,1.1343,1.0063,2.1406
398.0,1.062,0.998,2.06
399.0,1.1493,0.9991,2.1484
400.0,1.1263,1.0048,2.1311
401.0,1.0967,0.9947,2.0914
402.0,1.0706,1.0149,2.0854999999999997
403.0,1.147,0.9993,2.1463
404.0,1.1643,0.9879,2.1521999999999997
405.0,1.0805,0.9882,2.0686999999999998
406.0,1.069,1.0022,2.0712
407.0,1.142,1.0078,2.1498
408.0,1.0653,1.0073,2.0726
409.0,1.1111,1.0058,2.1169000000000002
410.0,1.1119,0.9862,2.0981
411.0,1.1321,0.984,2.1161000000000003
412.0,1.1345,0.9929,2.1274
413.0,1.0916,0.9955,2.0871
414.0,1.1193,0.9934,2.1127
415.0,1.0919,0.9982,2.0901
416.0,1.1098,0.9931,2.1029
417.0,1.1027,1.0001,2.1028000000000002
418.0,1.1018,0.9833,2.0850999999999997
419.0,1.0951,1.0034,2.0985
420.0,1.0612,0.9991,2.0603
421.0,1.1111,0.9866,2.0977
422.0,1.1323,1.0081,2.1404
423.0,1.1027,0.985,2.0877
424.0,1.2065,0.9976,2.2041
425.0,1.0759,1.0221,2.098
426.0,1.1035,1.0027,2.1062
427.0,1.174,0.9919,2.1658999999999997
428.0,1.1353,0.9938,2.1291
429.0,1.1449,1.0049,2.1498
430.0,1.1082,1.0116,2.1198
431.0,1.1309,1.0039,2.1348000000000003
432.0,1.1121,1.0028,2.1149
433.0,1.0912,1.0008,2.0919999999999996
434.0,1.2122,1.0063,2.2184999999999997
435.0,1.1215,0.9969,2.1184
436.0,1.0543,0.9912,2.0455
437.0,1.1143,0.9986,2.1129000000000002
438.0,1.1335,0.9863,2.1197999999999997
439.0,1.1148,0.9998,2.1146000000000003
440.0,1.1122,1.0034,2.1156
441.0,1.1591,0.9948,2.1539
442.0,1.1275,0.9994,2.1269
443.0,1.0992,0.9881,2.0873
444.0,1.0946,0.9817,2.0763
445.0,1.1023,0.9942,2.0965
446.0,1.1515,0.9884,2.1399
447.0,1.0818,1.0167,2.0985
448.0,1.0428,0.9941,2.0369
449.0,1.0908,1.0004,2.0911999999999997
450.0,1.0941,1.0019,2.096
451.0,1.1673,0.9987,2.166
452.0,1.122,1.0114,2.1334
453.0,1.093,1.0009,2.0938999999999997
454.0,1.1088,1.0045,2.1132999999999997
455.0,1.1149,1.0096,2.1245000000000003
456.0,1.1492,1.0049,2.1540999999999997
457.0,1.112,0.9836,2.0956
458.0,1.1197,0.988,2.1077
459.0,1.1307,0.9833,2.114
460.0,1.0947,1.0056,2.1003
461.0,1.0954,1.0177,2.1131
462.0,1.1081,1.0139,2.122
463.0,1.1072,1.0049,2.1121
464.0,1.1303,0.9916,2.1219
465.0,1.1458,0.9942,2.1399999999999997
466.0,1.1619,1.0006,2.1624999999999996
467.0,1.0682,0.9839,2.0521000000000003
468.0,1.1457,1.0,2.1456999999999997
469.0,1.0828,0.9894,2.0722
470.0,1.0755,1.0076,2.0831
471.0,1.0947,1.014,2.1087
472.0,1.1106,1.0033,2.1139
473.0,1.1434,0.9893,2.1327
474.0,1.136,1.0183,2.1543
475.0,1.1575,0.9973,2.1548
476.0,1.0519,1.0014,2.0533
477.0,1.0936,1.0011,2.0947
478.0,1.1752,1.0004,2.1756
479.0,1.0647,1.0039,2.0686
480.0,1.0627,1.0019,2.0646
481.0,1.0765,0.9915,2.068
482.0,1.1027,1.003,2.1056999999999997
483.0,1.0778,0.997,2.0748
484.0,1.1405,1.0001,2.1406
485.0,1.1499,1.0161,2.166
486.0,1.1316,1.0,2.1315999999999997
487.0,1.1373,1.0108,2.1481
488.0,1.0796,1.0132,2.0928
489.0,1.0852,1.0059,2.0911
490.0,1.1043,0.9968,2.1011
491.0,1.101,1.0154,2.1164
492.0,1.0673,1.0088,2.0761
493.0,1.1366,1.0001,2.1367000000000003
494.0,1.1338,1.0045,2.1383
495.0,1.1711,0.9884,2.1595
496.0,1.1254,0.9931,2.1185
497.0,1.1192,1.0126,2.1318
498.0,1.1164,1.0069,2.1233
499.0,1.0943,0.9874,2.0817
500.0,1.0729,1.001,2.0739
501.0,1.0704,0.995,2.0654
502.0,1.0751,0.9949,2.07
503.0,1.1049,0.9962,2.1010999999999997
504.0,1.1259,1.0018,2.1277
505.0,1.0818,1.0111,2.0929
506.0,1.1368,0.9972,2.134
507.0,1.0674,0.994,2.0614
508.0,1.1071,1.0125,2.1196
509.0,1.1168,0.9848,2.1016
510.0,1.1657,1.0167,2.1824
511.0,1.0883,0.9949,2.0832
512.0,1.1045,0.9971,2.1016
513.0,1.1271,1.001,2.1281
514.0,1.1135,0.9941,2.1075999999999997
515.0,1.1127,0.9996,2.1123000000000003
516.0,1.0913,1.0064,2.0976999999999997
517.0,1.0906,0.9811,2.0717
518.0,1.1003,0.9923,2.0926
519.0,1.0726,1.0075,2.0801
520.0,1.1186,1.0137,2.1323
521.0,1.0962,0.9949,2.0911
522.0,1.0773,1.0205,2.0978
523.0,1.1157,1.0012,2.1169000000000002
524.0,1.0966,0.9902,2.0868
525.0,1.1109,1.0086,2.1195
526.0,1.0773,1.0199,2.0972
527.0,1.0848,1.0126,2.0974
528.0,1.095,0.9946,2.0896
529.0,1.1171,1.0055,2.1226000000000003
530.0,1.0599,0.9952,2.0551
531.0,1.1065,0.9932,2.0997
532.0,1.0749,1.0097,2.0846
533.0,1.0868,0.9937,2.0805
534.0,1.1185,0.9864,2.1049
535.0,1.098,1.0045,2.1025
536.0,1.1283,1.014,2.1423
537.0,1.1366,1.0051,2.1417
538.0,1.0727,1.0002,2.0728999999999997
539.0,1.1041,1.001,2.1051
540.0,1.1151,1.0078,2.1229
541.0,1.0623,0.9953,2.0576
542.0,1.0931,1.007,2.1001
543.0,1.129,1.0,2.129
544.0,1.0765,0.9838,2.0603
545.0,1.09,1.0011,2.0911
546.0,1.0866,1.0112,2.0978000000000003
547.0,1.0954,1.0134,2.1088
548.0,1.0492,0.9996,2.0488
549.0,1.1501,0.9909,2.141
550.0,1.0834,0.9929,2.0763
551.0,1.1037,1.0207,2.1243999999999996
552.0,1.1225,1.0147,2.1372
